title,url,category,price,count_review,address,count_photo,rating,rating_by_category,normalized_rating
Санаторий Юность,https://www.tripadvisor.ru/Hotel_Review-g608960-d6886061-Reviews-Yunost-Anapa_Krasnodar_Krai_Southern_District.html,Российский пансионат,,36,"Пионерский проспект, 28, Анапа 353440 Россия",156,4.0,1.2987456654227558,1.144830414633146
Санаторно-оздоровительный комплекс «Анапа-Нептун»,https://www.tripadvisor.ru/Hotel_Review-g608960-d5244861-Reviews-Anapa_Neptun_Sanatorium-Anapa_Krasnodar_Krai_Southern_District.html,Российский санаторий,,18,"Пионерский пр-т, 106, Анапа 353456 Россия",26,4.5,1.188793103448276,0.993507771808227
Onix Marco Polo Анапа,https://www.tripadvisor.ru/Hotel_Review-g608960-d2631909-Reviews-Onix_Marco_Polo_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,26,"пр. Пионерский, д. 36ф, Анапа 353456 Россия",10,4.0,1.414022827859306,0.8932525849066062
ВАлекс,https://www.tripadvisor.ru/Hotel_Review-g608960-d8780410-Reviews-Valeks_Guesthouse-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,8,"ул. Трудящихся, д.57, Анапа 353440 Россия",0,5.0,1.5,1.024024024024024
"Пансионат ""Одиссея""",https://www.tripadvisor.ru/Hotel_Review-g608960-d3702481-Reviews-Odisseya_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Российский пансионат,,12,"Пионерский проспект, 267, Анапа 353456 Россия",74,4.0,1.0660982203042368,0.9483273865671438
Орион,https://www.tripadvisor.ru/Hotel_Review-g608960-d6696918-Reviews-Orion-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,10,"ул. Калинина, 1а, Анапа 353440 Россия",12,4.5,1.236827393431167,0.9482394382242637
Санаторий Анапа,https://www.tripadvisor.ru/Hotel_Review-g608960-d3701133-Reviews-Anapa_Health_Resort-Anapa_Krasnodar_Krai_Southern_District.html,Российский санаторий,,79,"ул. Гребенская, 3, Анапа 353444 Россия",30,3.5,1.55314039408867,0.9827607577228215
Отель АСТОН,https://www.tripadvisor.ru/Hotel_Review-g608960-d6438991-Reviews-Hotel_Aston-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,20,"Первый пр-д, 4, Анапа 353456 Россия",19,5.0,1.6119263918006055,1.0888916230342633
"Отель ""Монарх""",https://www.tripadvisor.ru/Hotel_Review-g608960-d6162186-Reviews-Hotel_Monarch-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,40,"Крестьянская ул., 3А, Анапа 353445 Россия",38,4.0,0.9777832460685268,0.9777832460685268
Villa Excellence,https://www.tripadvisor.ru/Hotel_Review-g608960-d17514124-Reviews-Villa_Excellence-Anapa_Krasnodar_Krai_Southern_District.html,Отель особого типа,,6,"ул. Тургенева, 1, Анапа 353440 Россия",0,5.0,2.0,1.018018018018018
Комплимент,https://www.tripadvisor.ru/Hotel_Review-g608960-d10090264-Reviews-Kompliment-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,8,"ул. Кирова, д.21а, Анапа 353440 Россия",8,5.0,1.650943396226415,1.0361636294868464
"Отель ""Дель Мар""",https://www.tripadvisor.ru/Hotel_Review-g608960-d4702601-Reviews-Hotel_Del_Mare-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,70,"проезд Малый, 1е поселок Джемете, Анапа 353456 Россия",63,4.0,1.105809603229937,1.105809603229937
Majestic Sun Hotel Resort & Spa,https://www.tripadvisor.ru/Hotel_Review-g608960-d23425497-Reviews-Majestic_Sun_Hotel_Resort_Spa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,6,"Пионерский проспект 20M, Анапа 353456 Россия",0,5.0,1.018018018018018,1.018018018018018
Отель Славянка,https://www.tripadvisor.ru/Hotel_Review-g608960-d7734089-Reviews-Slavyanka_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,49,"Пионерский пр., 26 пос. Джемете, Анапа 353450 Россия",64,3.5,0.9442639908497269,0.9442639908497269
Белый Песок,https://www.tripadvisor.ru/Hotel_Review-g608960-d3404305-Reviews-Beliy_Pesok_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,30,"Тополиный проезд, д. 2а, Анапа 353456 Россия",73,4.0,2.2672723037502913,1.0008639899383451
Гостевой дом Лорис,https://www.tripadvisor.ru/Hotel_Review-g608960-d3543769-Reviews-Loris_Guest_House-Anapa_Krasnodar_Krai_Southern_District.html,Гостевой дом,,11,"ул. Калинина, д. 22, Анапа 353440 Россия",36,4.5,1.376923076923077,0.9876612576157342
Каравелла,https://www.tripadvisor.ru/Hotel_Review-g608960-d3462604-Reviews-Karavella-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,14,"ул. Шевченко, д. 185, Анапа 353440 Россия",0,4.5,0.9420420420420421,0.9420420420420421
